,Autor_libro,Nota_promedio_libro,Votos_libro
0,Stephen King,4.48,2430.0
1,Mario Puzo,4.38,390111.0
2,Frank Miller,4.26,179633.0
3,Elizabeth Tubbs,5.0,1.0
4,Reginald Rose,4.07,29209.0
5,Jude Fisher,4.62,22171.0
7,Thomas Keneally,4.34,155888.0
8,Bianca Scardoni,3.98,11740.0
9,Chuck Palahniuk,4.19,553401.0
10,Jude Fisher,4.65,31104.0
11,Winston Groom,4.04,65412.0
12,Sergio Della Sala,3.0,4.0
13,Brian Sibley,4.67,60232.0
15,Glenn Kenny,3.72,749.0
16,Deborah Call,4.38,893.0
17,Ken Kesey,4.2,696612.0
18,Ron Chernow,4.21,167093.0
22,Paulo Lins,3.93,1896.0
23,Hayao Miyazaki,4.46,24.0
24,Jacqueline Kehl,4.29,1181.0
25,Stephen King,4.47,291760.0
26,Roberto Benigni,4.43,113.0
28,Thomas Harris,4.23,522232.0
30,Peter Watts,3.78,1775.0
32,Bob Welch,4.32,399.0
33,Brian Azzarello,4.03,33431.0
34,Catherine Coulter,4.17,12705.0
36,Christopher Priest,3.91,20386.0
37,J.A. Templeton,4.22,2413.0
39,Ruby Dixon,4.15,6857.0
41,Maurice Broaddus,3.67,496.0
43,Justine Korman Fontes,4.48,27416.0
44,Randall Frakes,4.05,1367.0
45,Franco Cristaldi,4.2,5.0
46,Akiyuki Nosaka,4.06,1889.0
47,George Gipe,4.21,2742.0
49,Bret Easton Ellis,3.82,280015.0
50,Fiona Valpy,4.44,26744.0
53,Lewis Trondheim,3.63,52.0
58,Ramin Zahed,4.7,880.0
62,Quentin Tarantino,4.18,993.0
63,Greg Cox,4.15,1340.0
65,Amole Gupte,4.13,8.0
70,Hayao Miyazaki,4.27,322.0
71,Adrian Martin,3.81,70.0
72,Campbell Black,4.2,4140.0
73,Stephen King,4.26,1357524.0
74,Charlie Human,3.73,1286.0
75,Ruby Dixon,3.8,48397.0
77,Jirō Akagawa,3.0,1.0
78,Peter George,3.82,1186.0
79,Agatha Christie,4.06,4302.0
80,Jeffrey Archer,3.99,18492.0
81,Cornell Woolrich,4.04,1542.0
82,Kyle B Wilson,5.0,2.0
83,Diane Law,2.96,73.0
86,Sriram Raghavan,4.71,7.0
87,Jeethu Joseph,4.55,11.0
90,Wajdi Mouawad,4.35,5693.0
91,Hareem Prints,0.0,0.0
92,Çağan Irmak,4.5,6.0
93,Quentin Tarantino,4.25,2115.0
94,Charlie Kaufman,4.16,2248.0
96,Karin Slaughter,4.11,16536.0
97,Hubert Selby Jr.,4.1,57820.0
99,Matt Damon,4.48,5453.0
101,Walt Disney Company,4.27,2288.0
102,Randall Wallace,4.21,12971.0
103,Quentin Tarantino,4.37,1260.0
104,Matthew Modine,4.03,213.0
106,Ruby Dixon,3.8,48397.0
107,Peter Shaffer,4.15,18115.0
109,Ryder Windham,4.11,412.0
110,Lothar-Günther Buchheim,4.25,4776.0
112,S.D. Simper,4.18,977.0
113,Anthony Burgess,4.0,672130.0
114,Arthur C. Clarke,4.16,294492.0
117,Lucy Foley,3.69,271168.0
118,Aki Irie,3.95,665.0
119,Paul Auster,3.94,13527.0
120,Earl J. Hess,3.8,127.0
121,Akira Kurosawa,4.33,36.0
122,Luigi Bartolini,3.28,208.0
123,James M. Cain,4.07,24780.0
124,Orson Welles,4.02,265.0
125,Jon J. Muth,3.76,378.0
128,Piyush Pandey,4.0,2.0
132,Martin McDonagh,4.0,756.0
133,Valerie Colberg,3.77,13.0
136,Jeethu Joseph,4.55,11.0
137,Victoria Aveyard,4.02,866219.0
138,Ryūnosuke Akutagawa,3.89,61.0
140,Jigna Kothari,3.71,42.0
142,Jesse Russell,4.0,1.0
143,Eduardo Sacheri,3.99,5814.0
145,Dennis Lehane,4.1,182645.0
147,Jordan Belfort,3.73,34693.0
149,Joshua Williamson,4.04,5932.0
150,Guillermo del Toro,4.27,15094.0
151,Charles Solomon,4.43,692.0
152,Alan Moore,4.26,296842.0
153,Rakeysh Omprakash Mehra,4.19,16.0
155,Dennis O'Neil,4.12,1541.0
157,Wolfgang Hohlbein,3.62,553.0
159,Sylvia Nasar,4.13,130202.0
160,Jeffrey Archer,4.04,41402.0
161,Guy Ritchie,4.13,45.0
162,James Ellroy,4.18,33552.0
163,Osman Şahin,3.63,16.0
165,Ian Fleming,3.74,78963.0
166,Jesse Russell,0.0,0.0
167,Lauren Kate,3.89,14544.0
168,Rob MacGregor,4.23,2149.0
170,Hayao Miyazaki,4.3,10.0
173,Peter Biskind,4.13,7887.0
175,Ingmar Bergman,4.03,266.0
178,Graham Chapman,4.46,1002.0
179,Susan Elizabeth Phillips,3.85,14252.0
180,Harper Lee,4.27,5566979.0
182,Abby Mann,4.09,188.0
183,Zoey Dean,3.79,3642.0
184,Anne Vasko,3.25,8.0
186,Auguste Le Breton,3.7,33.0
187,Frederick Knott,3.94,432.0
188,Tatsuya Egawa,4.0,3.0
191,B. Traven,4.1,2385.0
192,Ryan North,4.09,4605.0
194,Andrew Horton,3.42,12.0
195,Céline Sciamma,4.6,55.0
197,Yoshitoki Oima,4.39,11000.0
198,Enrique Vila-Matas,3.48,595.0
200,Tarryn Fisher,3.99,14928.0
203,Emma Donoghue,4.07,775531.0
206,Mehmet Eroğlu,4.01,98.0
208,Bob Kat,3.93,90.0
209,Matt Zoller Seitz,4.46,741.0
210,Gillian Flynn,4.12,2811132.0
211,Mamoru Hosoda,4.25,693.0
212,Booton Herndon,4.17,1634.0
213,Thanhha Lai,4.13,56122.0
215,Solomon Northup,4.2,110671.0
216,Maya Banks,3.9,76463.0
218,Meg Cabot,3.7,60139.0
219,Rebecca Mascull,3.85,240.0
220,E.K. Kahani,4.39,31.0
224,Whitney G.,4.02,2612.0
225,Frederic P. Miller,4.63,19.0
226,Steve Kloves,4.59,41.0
227,Shinobu Momose,3.64,11.0
229,Adam Elliot,4.33,6.0
230,How To Train Your Dragon,3.87,23.0
231,Jon Krakauer,4.0,1022462.0
232,Cormac McCarthy,4.14,174179.0
233,Rajkumar Hirani,4.36,42.0
234,Laura Thompson,3.22,1166.0
235,Frederic P. Miller,4.35,293.0
240,Pankaj Sachdeva,5.0,6.0
